timestamp,service,metric,value
2026-06-22T22:34:00Z,olapdb-server,backend_write_rpc_timeout_total,0
2026-06-22T22:34:00Z,olapdb-server,p99_latency_ms,40
2026-06-22T22:34:00Z,metric-ingestor-large,write_fail_rate_pct,0.1
2026-06-22T22:34:00Z,metric-ingestor-large,p99_latency_ms,110
2026-06-22T22:34:00Z,http-receiver,error_rate_pct,0.2
2026-06-22T22:34:00Z,http-receiver,p99_latency_ms,55
2026-06-22T22:34:00Z,transformer,error_rate_pct,0.1
2026-06-22T22:41:00Z,olapdb-server,backend_write_rpc_timeout_total,46
2026-06-22T22:41:00Z,olapdb-server,p99_latency_ms,2003
2026-06-22T22:41:00Z,metric-ingestor-large,write_fail_rate_pct,0.4
2026-06-22T22:41:00Z,metric-ingestor-large,p99_latency_ms,140
2026-06-22T22:41:00Z,http-receiver,error_rate_pct,0.2
2026-06-22T22:41:00Z,http-receiver,p99_latency_ms,58
2026-06-22T22:41:00Z,transformer,error_rate_pct,0.1
2026-06-22T22:44:00Z,olapdb-server,backend_write_rpc_timeout_total,128
2026-06-22T22:44:00Z,olapdb-server,p99_latency_ms,2005
2026-06-22T22:44:00Z,metric-ingestor-large,write_fail_rate_pct,29.0
2026-06-22T22:44:00Z,metric-ingestor-large,p99_latency_ms,2200
2026-06-22T22:44:00Z,http-receiver,error_rate_pct,0.5
2026-06-22T22:44:00Z,http-receiver,p99_latency_ms,70
2026-06-22T22:44:00Z,transformer,error_rate_pct,1.2
2026-06-22T22:47:00Z,olapdb-server,backend_write_rpc_timeout_total,210
2026-06-22T22:47:00Z,olapdb-server,p99_latency_ms,2006
2026-06-22T22:47:00Z,metric-ingestor-large,write_fail_rate_pct,58.0
2026-06-22T22:47:00Z,metric-ingestor-large,p99_latency_ms,2300
2026-06-22T22:47:00Z,http-receiver,error_rate_pct,31.0
2026-06-22T22:47:00Z,http-receiver,p99_latency_ms,9800
2026-06-22T22:47:00Z,transformer,error_rate_pct,0.2
2026-06-22T22:50:00Z,olapdb-server,backend_write_rpc_timeout_total,288
2026-06-22T22:50:00Z,olapdb-server,p99_latency_ms,2008
2026-06-22T22:50:00Z,metric-ingestor-large,write_fail_rate_pct,71.0
2026-06-22T22:50:00Z,metric-ingestor-large,p99_latency_ms,2400
2026-06-22T22:50:00Z,http-receiver,error_rate_pct,37.0
2026-06-22T22:50:00Z,http-receiver,p99_latency_ms,9800
2026-06-22T22:50:00Z,transformer,error_rate_pct,0.1
